cn	en	alt	pos	note	source	lock
圆齿轮盒/扁齿轮盒/减速齿轮盒/传动齿轮盒	Top gearbox			参考实际图形翻译，可能为“圆齿轮盒”或“扁齿轮盒”，针对SHZV为“圆齿轮盒	glossary-20260130	0
限流自耦变压器(电抗开关匹配的电抗器）	preventive autotransformer				glossary-20260130	0
上海华明电力设备制造有限公司	Shanghai Huaming Power Equipment Co., Ltd.				semantic-glossary	0
带手摇把联锁开关的手摇把开孔	Hand-crank access port with interlock switch		名词		glossary-20260130	0
W - 扁齿轮盒/减速齿轮盒	W: Top gearbox				glossary-20260130	0
分接选择器底部与A等电位	Tap selector bottom and are equal potential				glossary-20260130	0
额定交流工频耐受电压试验	rated AC power frequency withstand voltage testing				glossary-20260130	0
（压力释放阀）自我封闭膜	self-sealing diaphragm				glossary-20260130	0
E1- 开关油室放气阀.	E1: Bleeding of on-load tap changer				glossary-20260130	0
E2- 变压器油箱放气口	E2: Bleeding of transformer tank				glossary-20260130	0
E2:变压器油箱放气口	E2: Bleeding of transformer tank				glossary-20260130	0
E2：变压器油箱放气口	E2: Bleeding of transformer tank				glossary-20260130	0
R:保护继电器连接弯管	R: Pipe connection for protective relay				glossary-20260130	0
R：保护继电器连接弯管	R: Pipe connection for protective relay				glossary-20260130	0
分接选择器上触头平面层	Upper contacts of tap selector				glossary-20260130	0
分接选择器下触头平面层	Lower contacts of tap selector				glossary-20260130	0
有载分接开关保护继电器	OLTC protective relay	OLTC protection relay		Nameplate / OS field.	os-lock	1
E1:开关油箱放气阀	E1: Bleeding of on-load tap changer				glossary-20260130	0
中性点集电环/引出环	Current take off ring				glossary-20260130	0
R - 保护继电器接头	Pipe connection R				glossary-20260130	0
分接选择器上层触头	Upper contacts of tap selector				glossary-20260130	0
分接选择器下层触头	Lower contacts of tap selector				glossary-20260130	0
分接选择器触头位置	Tap selector contact position				glossary-20260130	0
快速机构/储能机构	(spring)energy accumulator				glossary-20260130	0
方齿轮盒/伞齿轮盒	Bevel gearbox				glossary-20260130	0
油中溶解气体分析法	DGA (dissolved and free gases analysis)				glossary-20260130	0
消散在电弧中的电荷	The charges dissipated in the arcs				glossary-20260130	0
真空灭弧型分接开关	vacuum interrupter tap changer		名词		glossary-20260130	0
